nodes,gpus_per_node,model,local_batch_size,samples_per_sec,secs_per_batch,dataset
1,1,ViT-B-32,256,488.4376862206344,0.5241200816850178,synthetic
1,1,ViT-B-32,256,272.9991142510806,0.9377319802017883,laion400m
1,6,ViT-B-32,256,2946.0310377736428,0.5213794356901199,synthetic
1,6,ViT-B-32,256,1502.8403120830296,1.0220646782298572,laion400m
1,6,ViT-L-14,64,298.7421621928252,1.2853893711599522,laion400m
2,6,ViT-B-32,256,2734.6005975674557,1.1233816019541119,laion400m
2,6,ViT-L-14,64,595.6382058661953,1.2893733015046456,laion400m
2,6,ViT-B-32,256,5831.096279539799,0.5268306082990021,synthetic
4,6,ViT-L-14,64,1188.8046691052873,1.292054144736845,laion400m
4,6,ViT-B-32,256,11383.341437089124,0.5397360725719482,synthetic
4,6,ViT-B-32,256,4740.479228443816,1.2960714948680252,laion400m
8,6,ViT-B-32,256,22478.2017689488,0.5466629460090772,synthetic
8,6,ViT-L-14,64,2344.6355471907473,1.3102249531620183,laion400m
16,6,ViT-B-32,256,43421.459353604616,0.5659874257072807,synthetic
16,6,ViT-L-14,64,4627.2181461122855,1.3277956227678807,laion400m
32,6,ViT-B-32,256,76460.06381516496,0.6428453959811014,synthetic
64,6,ViT-B-32,256,133197.2698893646,0.7380331449860241,synthetic
128,6,ViT-B-32,256,170397.3861071271,1.153820516216103,synthetic
256,6,ViT-B-32,256,130577.85012478202,3.0113529945870394,synthetic
